index,player,number,team
1,Stephen Curry,30,Golden State Warriors
2,Kawhi Leonard,2,Los Angeles Clippers
3,Giannis Antetokounmpo,34,Milwaukee Bucks
4,Kyrie Irving,11,Brooklyn Nets
5,Kevin Durant,7,Brooklyn Nets
6,Klay Thompson,11,Golden State Warriors
7,Draymond Green,23,Golden State Warriors
8,Zion Williamson,1,New Orleans Pelicans
9,Luka Doncic,77,Dallas Mavericks
10,Zach Lavine,8,Chicago Bulls
11,Jayson Tatum,0,Boston Celtics
12,Jaylen Brown,7,Boston Celtics
13,LeBron James,23,Los Angeles Lakers
14,Russell Westbrook,0,Los Angeles Lakers
15,Tyrese Maxey,0,Philadelphia 76ers
16,Joel Embiid,21,Philadelphia 76ers
17,Jalen Brunson,11,New York Knicks
18,Donovan Mitchell,45,Cleveland Cavaliers
19,Darius Garland,10,Cleveland Cavaliers
20,Andrew Wiggins,22,Golden State Warriors